DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(0.060m);Dir#1(0.060m);Speed#2(0.070m);Dir#2(0.070m);Speed#3(0.080m);Dir#3(0.080m);Speed#4(0.090m);Dir#4(0.090m);Speed#5(0.100m);Dir#5(0.100m);Speed#6(0.110m);Dir#6(0.110m);Speed#7(0.120m);Dir#7(0.120m);Speed#8(0.130m);Dir#8(0.130m);Speed#9(0.140m);Dir#9(0.140m);Speed#10(0.150m);Dir#10(0.150m);Speed#11(0.160m);Dir#11(0.160m);Speed#12(0.170m);Dir#12(0.170m);Speed#13(0.180m);Dir#13(0.180m);Speed#14(0.190m);Dir#14(0.190m);Speed#15(0.200m);Dir#15(0.200m);Speed#16(0.210m);Dir#16(0.210m);Speed#17(0.220m);Dir#17(0.220m);Speed#18(0.230m);Dir#18(0.230m);Speed#19(0.240m);Dir#19(0.240m);
3/9/2022 16:54:20; 13.2; 96.8;  0.2;  6.7;  0.624; 23.42;    0;    0;  0.255; 329.92;  0.042; 319.84;  0.058; 294.36;  0.038;  32.01;  0.087; 211.30;  0.315; 163.23;  0.231; 249.44;  0.475;  30.61;  0.060; 334.29;  0.351; 134.08;  0.078; 270.00;  0.017; 349.99;  0.011;  41.19;  0.043; 232.59;  0.088; 225.46;  0.586; 328.18;  0.042; 351.87;  0.075; 237.99;  0.576; 299.63;
3/9/2022 16:54:20; 13.2; 96.8;  0.2;  6.8;  0.626; 23.43;    0;    0;  0.009; 144.46;  0.054; 279.64;  0.118; 274.84;  0.044; 157.48;  0.172; 282.75;  0.048; 262.87;  0.221; 126.92;  0.331; 127.01;  0.150;  66.35;  0.397; 205.66;  0.043;  79.22;  0.155;  93.32;  0.059;  69.10;  0.216; 218.62;  0.549; 312.79;  0.182; 293.32;  0.029; 220.82;  0.046; 357.51;  0.120; 358.09;
3/9/2022 16:54:21; 13.2; 96.8;  0.2;  6.7;  0.626; 23.43;    0;    0;  0.019; 308.66;  0.040; 251.11;  0.183;  91.88;  0.093; 153.98;  0.099; 331.11;  0.103; 335.92;  0.102; 252.28;  0.239;  84.24;  0.319;  73.21;  0.233; 237.60;  0.105;  62.22;  0.250; 187.13;  0.187; 254.18;  0.244;  73.80;  0.117;  94.40;  0.051; 275.60;  0.165; 197.67;  0.157; 197.74;  0.025;  80.91;
3/9/2022 16:54:21; 13.2; 96.8;  0.2;  6.8;  0.626; 23.42;    0;    0;  0.514;  53.71;  0.011; 142.13;  0.049; 284.32;  0.038; 237.99;  0.351; 157.74;  0.109; 184.20;  0.086; 332.24;  0.058; 263.12;  0.015; 277.59;  0.277; 223.25;  0.176;  29.34;  0.028; 315.00;  0.133; 110.20;  0.106; 227.29;  0.061; 206.15;  0.019; 297.90;  0.117; 109.52;  0.163; 322.71;  0.131; 314.07;
3/9/2022 16:54:22; 13.2; 96.9;  0.1;  6.8;  0.627; 23.43;    0;    0;  0.103; 237.70;  0.036; 266.82;  0.097; 348.69;  0.172; 315.71;  0.094; 263.86;  0.180; 338.85;  0.467;  69.70;  0.145; 343.57;  0.054; 209.88;  0.051; 307.09;  0.110;  71.40;  1.053; 139.55;  0.137; 165.66;  0.035; 356.73;  0.006; 189.46;  0.127;  74.43;  0.045; 303.34;  0.364;  23.12;  0.025; 323.13;
3/9/2022 16:54:22; 13.2; 96.8;  0.2;  6.8;  0.626; 23.43;    0;    0;  0.261; 156.77;  0.057;  81.87;  0.559; 357.33;  0.112; 265.41;  0.952; 149.72;  0.195;  82.95;  0.239; 273.11;  0.084; 106.50;  0.103; 116.57;  0.251;  62.72;  0.052; 230.48;  0.209; 353.96;  0.128; 217.68;  0.064; 227.54;  0.190; 261.23;  0.156; 280.37;  0.086;  78.56;  0.383; 213.27;  1.118; 183.69;
3/9/2022 16:54:23; 13.2; 96.8;  0.2;  6.8;  0.627; 23.43;    0;    0;  0.072; 328.08;  0.089; 110.48;  0.802; 210.50;  0.093; 339.81;  0.055; 189.46;  0.029; 107.82;  0.070;  19.98;  0.069; 179.17;  0.029;  14.04;  0.099; 200.08;  0.099; 257.22;  0.375; 224.78;  0.295; 189.37;  0.130; 305.90;  0.027; 231.01;  0.376; 322.13;  0.111; 347.47;  0.129; 219.98;  0.139; 356.71;
3/9/2022 16:54:23; 13.2; 96.8;  0.2;  6.8;  0.625; 23.42;    0;    0;  1.064; 317.25;  0.274; 330.54;  0.216;  14.23;  0.089; 346.43;  0.252; 146.81;  0.025; 161.57;  0.116;  80.05;  0.065; 205.39;  0.094;  17.28;  0.191; 273.60;  0.053; 284.30;  0.347; 187.29;  0.206; 214.92;  0.072; 342.32;  0.111; 220.60;  0.078; 310.84;  0.035;  98.13;  0.569; 296.39;  0.820; 311.00;
3/9/2022 16:54:24; 13.2; 96.8;  0.2;  6.8;  0.623; 23.42;    0;    0;  0.752; 280.04;  0.111; 339.44;  0.207; 232.08;  0.766; 213.27;  0.046; 134.12;  0.054; 263.66;  0.061;  10.39;  0.110;  92.60;  0.070; 279.87;  0.102; 297.32;  0.254;  42.93;  0.261; 111.84;  0.481; 230.06;  0.366; 140.44;  0.313;   4.76;  0.050; 202.44;  0.256; 204.46;  0.246;  65.00;  0.072; 291.95;
3/9/2022 16:54:24; 13.2; 96.8;  0.2;  6.8;  0.626; 23.43;    0;    0;  0.238; 270.00;  0.192;  41.83;  0.049; 263.02;  0.530; 211.35;  0.243; 214.61;  0.124; 359.08;  0.492;  88.49;  0.384; 288.06;  0.098; 281.77;  0.698; 167.08;  0.255; 240.92;  0.103;  10.65;  0.438; 142.32;  0.297; 228.96;  0.759; 228.10;  0.138;  37.95;  0.196; 228.10;  0.161; 142.56;  0.705; 214.07;
