DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(0.060m);Dir#1(0.060m);Speed#2(0.070m);Dir#2(0.070m);Speed#3(0.080m);Dir#3(0.080m);Speed#4(0.090m);Dir#4(0.090m);Speed#5(0.100m);Dir#5(0.100m);Speed#6(0.110m);Dir#6(0.110m);Speed#7(0.120m);Dir#7(0.120m);Speed#8(0.130m);Dir#8(0.130m);Speed#9(0.140m);Dir#9(0.140m);Speed#10(0.150m);Dir#10(0.150m);Speed#11(0.160m);Dir#11(0.160m);Speed#12(0.170m);Dir#12(0.170m);Speed#13(0.180m);Dir#13(0.180m);Speed#14(0.190m);Dir#14(0.190m);Speed#15(0.200m);Dir#15(0.200m);Speed#16(0.210m);Dir#16(0.210m);Speed#17(0.220m);Dir#17(0.220m);Speed#18(0.230m);Dir#18(0.230m);Speed#19(0.240m);Dir#19(0.240m);
3/4/2022 18:44:35; 13.2; 97.1; -0.2; -1.6;  0.650; 21.54;    0;    0;  0.254; 150.20;  0.176; 234.24;  0.202; 292.12;  0.248;  93.94;  0.186;  75.96;  0.086;  57.78;  0.728; 211.00;  0.025; 236.31;  0.067; 328.45;  0.045; 267.46;  0.039; 104.74;  0.012; 289.98;  0.085; 314.05;  0.074; 342.78;  0.078; 268.53;  0.514;  88.66;  0.216; 316.69;  0.868; 357.03;  0.583;  80.72;
3/4/2022 18:44:35; 13.2; 97.1; -0.2; -1.6;  0.649; 21.54;    0;    0;  0.440;  60.00;  0.497;  62.20;  0.107;  28.95;  0.526; 270.00;  0.543;  92.96;  0.152; 264.70;  0.074;  86.13;  0.829; 150.44;  0.291; 330.62;  0.174; 185.28;  0.720;  20.90;  0.078;  91.47;  0.581;  85.85;  0.132; 165.54;  0.827;  96.59;  0.018;  56.31;  0.687; 102.44;  0.396; 341.29;  1.001;  26.33;
3/4/2022 18:44:36; 13.2; 97.1; -0.2; -1.6;  0.650; 21.54;    0;    0;  0.001; 270.00;  0.850; 140.06;  0.551;  38.89;  0.234;  75.37;  0.107; 280.26;  0.030;  66.04;  0.071; 244.16;  0.029; 296.57;  0.046; 201.57;  0.074; 172.97;  0.118; 189.78;  0.124;  76.97;  0.133; 129.20;  0.032; 181.79;  0.207; 121.15;  0.016;  60.26;  1.275; 282.37;  0.666;  28.22;  0.807;  92.20;
3/4/2022 18:44:36; 13.2; 97.1; -0.2; -1.6;  0.651; 21.54;    0;    0;  1.270;  30.00;  0.259; 282.70;  0.779;  35.18;  0.145; 283.94;  0.124; 272.31;  0.109;   0.00;  0.090; 220.95;  0.072; 217.67;  0.015;  74.05;  0.218;  34.71;  0.085; 192.89;  0.003; 315.00;  0.099; 272.89;  0.013;  85.60;  0.175; 286.57;  0.415; 276.51;  0.594;  42.88;  0.840; 212.55;  0.926;  48.33;
3/4/2022 18:44:37; 13.2; 97.1; -0.2; -1.6;  0.652; 21.54;    0;    0;  1.552; 173.82;  0.368;   0.93;  0.217;  84.71;  0.825;  89.31;  0.037;  77.47;  0.034; 106.86;  0.870; 266.37;  0.255;  91.35;  0.049;  22.89;  0.205; 261.87;  0.107; 171.95;  0.033; 315.00;  0.072; 142.33;  0.072; 186.34;  0.054; 186.34;  0.841;  89.11;  0.188; 298.88;  1.023; 102.47;  0.756; 121.97;
3/4/2022 18:44:37; 13.2; 97.2; -0.2; -1.6;  0.649; 21.54;    0;    0;  0.230; 270.00;  0.491;  33.20;  0.486; 206.25;  0.074;  90.00;  0.240; 279.34;  0.061;  69.78;  0.105; 256.23;  0.365; 268.59;  0.016; 243.43;  0.299;  30.34;  0.100;  21.70;  0.450; 275.86;  0.020;  72.47;  0.033;  17.88;  0.221;  47.20;  0.849;  90.40;  0.070; 125.73;  0.384; 274.63;  1.124; 261.20;
3/4/2022 18:44:38; 13.2; 97.2; -0.2; -1.6;  0.650; 21.54;    0;    0;  1.109; 293.37;  0.317; 178.73;  0.112;  46.08;  0.015;  90.00;  0.155;  93.32;  0.188; 184.59;  0.083; 113.47;  0.176;  75.17;  0.044; 301.18;  0.353;  24.97;  0.125; 205.13;  0.015; 277.59;  0.187;  62.61;  0.262;  58.74;  0.156;  39.29;  0.183; 130.13;  0.225; 149.21;  0.658; 321.04;  0.709; 301.56;
3/4/2022 18:44:38; 13.2; 97.2; -0.2; -1.6;  0.652; 21.55;    0;    0;  1.017;  30.02;  0.741; 242.26;  0.113;  43.57;  0.068; 183.37;  0.040; 126.87;  0.055; 253.20;  0.100; 275.77;  0.177; 281.06;  0.049; 237.62;  1.023;  29.77;  0.040; 185.71;  0.027; 192.99;  0.071; 341.05;  0.064;  74.67;  0.130; 317.82;  0.085; 115.67;  0.491; 359.88;  0.559; 199.86;  1.312; 282.32;
3/4/2022 18:44:39; 13.2; 97.2; -0.2; -1.6;  0.652; 21.54;    0;    0;  0.882; 240.01;  0.235;  76.73;  0.033; 340.46;  0.084; 154.65;  0.005; 158.20;  0.134; 136.52;  0.033;  42.51;  0.143; 196.66;  0.023;  90.00;  0.738;  32.55;  0.013; 118.61;  0.093;  45.44;  0.090; 163.18;  0.034; 121.83;  0.027;   2.12;  0.312; 231.77;  0.915; 351.33;  0.663; 184.67;  0.978; 219.57;
3/4/2022 18:44:39; 13.2; 97.2; -0.2; -1.6;  0.649; 21.54;    0;    0;  0.509; 329.91;  0.184; 202.38;  0.776; 216.93;  0.111;  80.11;  0.136;  97.59;  0.030; 132.27;  0.084;  89.32;  0.136; 272.53;  0.113;  61.39;  0.280; 224.71;  0.023;  46.74;  0.038;  70.14;  0.245; 133.68;  0.927; 332.91;  0.116;  96.94;  0.279;  12.20;  0.828; 286.99;  1.197; 182.15;  0.645;  37.88;
3/4/2022 18:44:40; 13.2; 97.1; -0.2; -1.5;  0.651; 21.55;    0;    0;  1.117; 129.92;  0.296; 278.73;  0.120; 180.48;  0.244; 102.78;  0.022; 338.20;  0.096; 143.01;  0.738; 270.31;  0.069;  58.61;  0.230; 319.59;  0.130; 190.62;  0.055;  69.93;  0.052; 108.08;  0.044;  96.48;  0.291; 166.87;  0.108; 140.26;  0.137; 224.41;  0.600; 135.95;  0.733; 199.70;  0.525; 346.78;
3/4/2022 18:44:40; 13.2; 97.1; -0.2; -1.5;  0.652; 21.54;    0;    0;  0.882; 299.94;  0.279;  45.15;  0.242;  48.68;  0.088; 289.87;  0.389; 271.91;  0.178; 269.36;  0.075; 273.81;  0.390;  92.64;  0.084; 262.45;  0.153; 355.89;  0.028; 184.09;  0.183; 201.80;  0.025; 319.90;  0.022;  79.70;  0.072; 299.05;  0.189; 260.24;  0.639; 188.09;  0.585;  57.64;  0.445; 322.67;
3/4/2022 18:44:41; 13.2; 97.1; -0.2; -1.6;  0.649; 21.55;    0;    0;  0.718;  97.20;  0.142;  54.18;  0.427; 344.79;  0.545; 267.37;  0.067;  62.28;  0.064; 198.15;  0.069;  92.49;  0.067; 119.64;  0.156; 267.80;  0.552; 152.83;  0.059; 210.47;  0.083; 232.85;  0.127; 324.93;  0.552;  46.62;  0.021; 133.03;  0.275; 334.37;  1.086;  43.92;  0.352;  11.31;  1.036;  34.70;
3/4/2022 18:44:41; 13.2; 97.1; -0.2; -1.6;  0.651; 21.54;    0;    0;  0.842;  58.50;  1.094;  45.33;  0.297; 274.06;  0.202; 250.04;  0.274;  88.33;  0.112;  18.27;  0.113; 201.33;  0.463;  94.33;  0.125;  98.26;  0.236;  66.04;  0.039;  82.69;  0.107;  45.75;  0.144; 177.22;  0.253; 205.25;  0.076; 303.69;  0.339; 176.78;  0.297; 358.65;  0.026;  17.74;  0.616; 185.12;
3/4/2022 18:44:42; 13.2; 97.2; -0.2; -1.6;  0.649; 21.55;    0;    0;  1.420; 324.72;  0.882; 261.66;  0.552;  69.43;  0.075;  57.59;  0.093; 127.98;  0.099; 180.00;  0.086;  41.69;  0.497;  73.75;  0.230;  99.99;  0.138; 300.47;  0.005; 111.80;  0.028;  52.31;  0.106; 227.29;  0.186; 110.48;  0.078; 235.49;  0.088; 229.61;  0.521; 223.75;  0.496; 196.28;  0.852; 169.59;
