DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(0.130m);Dir#1(0.130m);Speed#2(0.160m);Dir#2(0.160m);Speed#3(0.190m);Dir#3(0.190m);Speed#4(0.220m);Dir#4(0.220m);Speed#5(0.250m);Dir#5(0.250m);Speed#6(0.280m);Dir#6(0.280m);Speed#7(0.310m);Dir#7(0.310m);Speed#8(0.340m);Dir#8(0.340m);Speed#9(0.370m);Dir#9(0.370m);Speed#10(0.400m);Dir#10(0.400m);Speed#11(0.430m);Dir#11(0.430m);Speed#12(0.460m);Dir#12(0.460m);Speed#13(0.490m);Dir#13(0.490m);Speed#14(0.520m);Dir#14(0.520m);Speed#15(0.550m);Dir#15(0.550m);Speed#16(0.580m);Dir#16(0.580m);Speed#17(0.610m);Dir#17(0.610m);Speed#18(0.640m);Dir#18(0.640m);Speed#19(0.670m);Dir#19(0.670m);Speed#20(0.700m);Dir#20(0.700m);Speed#21(0.730m);Dir#21(0.730m);Speed#22(0.760m);Dir#22(0.760m);Speed#23(0.790m);Dir#23(0.790m);Speed#24(0.820m);Dir#24(0.820m);Speed#25(0.850m);Dir#25(0.850m);Speed#26(0.880m);Dir#26(0.880m);Speed#27(0.910m);Dir#27(0.910m);Speed#28(0.940m);Dir#28(0.940m);Speed#29(0.970m);Dir#29(0.970m);
3/4/2022 18:46:29; 14.8; 47.5; -0.6; -3.7;  0.459; 21.48;    0;    0; 0.1576; 276.12; 0.0478;  67.35; 0.0215; 320.47; 0.1798; 251.62; 0.0464;  81.45; 0.0095; 143.97; 0.0060; 154.29; 0.0094;  49.33; 0.0096; 224.16; 0.0109; 238.95; 0.0169;   8.18; 0.0119; 283.10; 0.0464;  30.27; 0.0024; 175.24; 0.0161; 222.73; 0.0230; 229.05; 0.0098; 230.79; 0.0261; 302.47; 0.0882; 164.55; 0.0170; 345.72; 0.0049;  31.76; 0.0084; 142.72; 0.0012; 239.04; 0.0037; 329.30; 0.0425; 347.21; 0.0064; 164.67; 0.0106;  54.96; 0.0709; 158.83; 0.0726;   3.39;
3/4/2022 18:46:30; 14.8; 47.5; -0.6; -3.7;  0.458; 21.48;    0;    0; 0.1706; 261.58; 0.2076; 102.52; 0.0760; 294.00; 0.0886;  42.39; 0.0035; 133.83; 0.0130; 131.27; 0.0141; 139.31; 0.0235;  49.66; 0.0015; 176.19; 0.0090; 251.16; 0.0166;  36.66; 0.0522; 226.55; 0.0877; 276.87; 0.0213; 233.78; 0.0119; 229.09; 0.0122;  66.80; 0.0718;  48.33; 0.1578; 138.62; 0.1269; 158.61; 0.1033; 349.73; 0.0028;  40.60; 0.0225; 163.18; 0.0062; 167.97; 0.0112; 344.97; 0.0290; 167.88; 0.0108; 334.15; 0.0413; 163.23; 0.0886; 153.00; 0.0694; 359.83;
3/4/2022 18:46:31; 14.8; 47.3; -0.6; -3.7;  0.459; 21.48;    0;    0; 0.0604;  34.74; 0.0900; 238.91; 0.0946; 293.75; 0.1589; 286.45; 0.0056; 141.50; 0.0048; 148.63; 0.0451;  65.93; 0.1100;  48.69; 0.0028; 272.05; 0.0052;  42.65; 0.0373; 213.18; 0.0147; 241.17; 0.1071; 235.69; 0.0238; 231.15; 0.0097; 212.38; 0.0381; 227.34; 0.0567; 221.42; 0.0905; 291.26; 0.1387; 354.54; 0.0167;  22.57; 0.0049;  63.43; 0.0361; 353.15; 0.0022;  10.30; 0.0011; 116.57; 0.0696; 167.46; 0.0268; 357.65; 0.0239; 155.26; 0.0287; 322.65; 0.0434; 313.13;
3/4/2022 18:46:32; 14.8; 47.4; -0.7; -3.7;  0.461; 21.48;    0;    0; 0.0543; 114.02; 0.1141; 118.70; 0.0354; 280.90; 0.0034;  69.44; 0.0181;  89.05; 0.0149; 110.87; 0.0159; 183.24; 0.0404; 222.89; 0.0075; 222.84; 0.0036; 254.05; 0.0326; 228.98; 0.0166; 250.69; 0.0645;  12.18; 0.0039; 239.53; 0.0095; 184.21; 0.0535;  52.98; 0.1685; 222.72; 0.2042; 201.34; 0.0867; 161.17; 0.0168; 120.08; 0.0287; 356.40; 0.0060; 358.09; 0.0004; 153.43; 0.0048; 341.94; 0.0589; 346.95; 0.0752; 347.48; 0.1206; 159.31; 0.0167; 309.41; 0.0443; 216.27;
3/4/2022 18:46:33; 14.8; 47.3; -0.6; -3.7;  0.459; 21.48;    0;    0; 0.0962; 240.82; 0.0027; 100.49; 0.1205; 287.49; 0.1696; 286.33; 0.0094; 292.48; 0.0017; 193.24; 0.0105; 123.69; 0.0328;  52.05; 0.0009;  20.56; 0.0069; 262.46; 0.0169; 264.90; 0.0075; 114.51; 0.0615; 153.23; 0.0227;  99.88; 0.0694; 223.66; 0.0576; 228.87; 0.0106; 223.47; 0.1232; 117.29; 0.0660;  29.28; 0.0137; 157.73; 0.0053;  10.89; 0.0005; 180.00; 0.0007; 278.13; 0.0120; 342.02; 0.0392; 169.12; 0.0370; 167.99; 0.0201; 111.59; 0.0065; 253.81; 0.0149; 355.78;
3/4/2022 18:46:34; 14.8; 47.4; -0.6; -3.7;  0.458; 21.48;    0;    0; 0.0894; 219.46; 0.1537; 275.94; 0.0770; 279.87; 0.0064; 149.81; 0.0147; 227.75; 0.0052; 176.70; 0.0077; 202.91; 0.0116; 217.27; 0.0108; 232.17; 0.0072; 247.01; 0.0319; 246.97; 0.0126;  37.23; 0.0240;  26.46; 0.0901; 227.11; 0.0025; 165.96; 0.0623; 226.24; 0.0383;  73.17; 0.1447; 194.53; 0.1250; 168.09; 0.0364; 176.06; 0.0169; 359.66; 0.0171; 168.56; 0.0018; 350.54; 0.0148; 349.07; 0.0764; 348.22; 0.0789; 345.61; 0.0113; 187.13; 0.0603;  62.88; 0.0497; 187.87;
3/4/2022 18:46:35; 14.8; 47.5; -0.6; -3.7;  0.457; 21.48;    0;    0; 0.0526; 219.53; 0.1468; 108.47; 0.0406; 277.79; 0.0933; 109.02; 0.0076; 294.88; 0.0076;  18.43; 0.0365; 225.67; 0.0086; 235.94; 0.0102; 234.59; 0.0074; 245.17; 0.0227;  17.16; 0.0033; 291.16; 0.0080; 338.86; 0.0560;  46.30; 0.0067;  32.74; 0.0301; 229.05; 0.0688;  49.36; 0.0761; 125.91; 0.1244;  98.55; 0.0592; 169.20; 0.0179; 154.15; 0.0099; 348.92; 0.0015; 132.27; 0.0013;  12.99; 0.0406; 167.06; 0.0138; 168.69; 0.0186; 124.71; 0.1101; 354.37; 0.0272; 351.54;
3/4/2022 18:46:36; 14.8; 47.3; -0.6; -3.7;  0.455; 21.48;    0;    0; 0.1929;  72.84; 0.0287; 312.60; 0.0753; 284.07; 0.0448; 125.18; 0.0048; 193.17; 0.0263; 227.32; 0.0441; 221.50; 0.0202; 244.20; 0.0117; 228.81; 0.0043; 283.39; 0.0225; 244.12; 0.0191; 172.46; 0.1003; 145.44; 0.0121; 226.67; 0.0328;  49.95; 0.0809;  48.01; 0.1007; 227.98; 0.2705; 196.34; 0.2122; 173.56; 0.0376; 182.74; 0.0112; 149.30; 0.0065; 155.41; 0.0004; 153.43; 0.0024; 343.07; 0.0120; 163.07; 0.0273; 169.02; 0.0801; 339.17; 0.0409; 168.86; 0.0216;  44.81;
3/4/2022 18:46:37; 14.8; 47.3; -0.6; -3.7;  0.458; 21.48;    0;    0; 0.0659; 271.83; 0.3266; 259.25; 0.0982; 308.01; 0.0330;  78.11; 0.0770; 128.09; 0.0509; 109.75; 0.0256; 244.04; 0.1007;  39.89; 0.0061; 251.86; 0.0060;   6.65; 0.0065; 273.52; 0.0227;  71.49; 0.0247; 118.74; 0.0186; 295.18; 0.0530; 224.77; 0.0375; 222.62; 0.0174; 173.41; 0.1008; 289.89; 0.0618;  35.39; 0.0501; 354.85; 0.0113;  48.96; 0.0029; 155.22; 0.0009; 147.99; 0.0024; 343.07; 0.0667; 167.80; 0.0207; 169.72; 0.0238;  29.48; 0.0996; 309.30; 0.1382; 333.68;
3/4/2022 18:46:38; 14.8; 47.4; -0.6; -3.7;  0.458; 21.48;    0;    0; 0.0201; 285.28; 0.1059; 267.02; 0.1933; 281.37; 0.1802; 109.45; 0.1768; 112.17; 0.0577; 282.81; 0.0158; 342.37; 0.0998;  36.97; 0.0042; 283.71; 0.0094; 245.35; 0.0354; 226.94; 0.1831; 227.72; 0.0610; 211.45; 0.0547; 330.53; 0.0226;  38.34; 0.0958; 226.78; 0.0314;  73.93; 0.2747;  27.89; 0.1033; 313.27; 0.0231; 356.78; 0.0113; 120.88; 0.0208; 172.81; 0.0005; 216.87; 0.0097; 345.68; 0.0158; 169.82; 0.0073;  10.23; 0.0325; 312.13; 0.0972;  16.98; 0.1643;   4.29;
