DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(0.060m);Dir#1(0.060m);Speed#2(0.070m);Dir#2(0.070m);Speed#3(0.080m);Dir#3(0.080m);Speed#4(0.090m);Dir#4(0.090m);Speed#5(0.100m);Dir#5(0.100m);Speed#6(0.110m);Dir#6(0.110m);Speed#7(0.120m);Dir#7(0.120m);Speed#8(0.130m);Dir#8(0.130m);Speed#9(0.140m);Dir#9(0.140m);Speed#10(0.150m);Dir#10(0.150m);Speed#11(0.160m);Dir#11(0.160m);Speed#12(0.170m);Dir#12(0.170m);Speed#13(0.180m);Dir#13(0.180m);Speed#14(0.190m);Dir#14(0.190m);Speed#15(0.200m);Dir#15(0.200m);Speed#16(0.210m);Dir#16(0.210m);Speed#17(0.220m);Dir#17(0.220m);Speed#18(0.230m);Dir#18(0.230m);Speed#19(0.240m);Dir#19(0.240m);
3/7/2022 18:53:22; 14.8; 48.2; -0.2; -3.5;  0.430; 21.68;    0;    0;  0.215;  79.84;  0.355; 128.48;  0.027; 118.44;  0.135; 298.27;  0.435; 141.26;  0.768; 284.87;  0.599; 266.55;  1.032;  67.98;  0.158;  94.73;  0.229;  92.50;  0.371; 272.62;  0.139; 140.57;  0.070; 295.46;  0.048; 248.20;  0.157; 129.06;  0.195; 173.53;  0.327; 321.45;  0.228; 173.96;  0.916; 273.38;
3/7/2022 18:53:22; 14.8; 48.3; -0.3; -3.5;  0.428; 21.68;    0;    0;  0.260;  84.71;  0.117; 107.97;  0.157;   6.94;  0.042; 334.65;  0.355; 211.63;  0.522; 260.84;  0.520; 267.13;  0.680; 309.33;  0.147; 279.78;  0.024;  19.18;  0.217; 262.58;  0.127;  60.20;  0.150; 298.61;  0.143; 118.35;  0.207; 136.57;  0.128;  41.19;  0.227;  33.69;  0.090; 300.85;  0.179; 308.41;
3/7/2022 18:53:23; 14.8; 48.5; -0.2; -3.5;  0.429; 21.68;    0;    0;  0.270;  80.85;  0.119;   0.48;  0.130;  41.89;  0.040; 214.88;  0.051; 169.80;  0.729;  87.33;  0.770;  84.64;  0.111; 246.67;  0.029;  82.15;  0.042; 296.57;  0.073;  94.70;  0.847; 104.22;  0.324; 330.83;  0.016; 352.87;  0.256; 330.23;  0.040; 128.88;  0.427; 133.67;  0.145; 235.11;  0.393; 298.91;
3/7/2022 18:53:23; 14.8; 48.3; -0.2; -3.5;  0.429; 21.68;    0;    0;  0.034;   8.37;  0.020; 357.14;  0.044; 277.77;  0.081;  14.38;  0.090; 249.96;  0.174;  98.27;  0.100;  86.57;  0.384; 166.29;  0.073; 119.74;  0.438;  90.65;  0.035; 356.73;  0.106; 241.74;  0.106; 105.87;  0.314;  76.94;  0.085; 188.80;  0.060; 348.50;  0.896; 334.61;  0.156;  26.73;  0.902;  63.83;
3/7/2022 18:53:24; 14.8; 48.0; -0.2; -3.5;  0.428; 21.69;    0;    0;  0.236;  90.00;  0.056;  80.71;  0.115; 271.00;  0.041;  65.32;  0.107;  75.45;  0.053; 192.99;  0.036; 125.91;  0.262; 344.96;  0.902; 150.65;  0.385; 142.39;  0.039;  29.20;  0.063;  74.43;  0.731; 333.96;  0.664;  86.89;  0.452; 221.95;  0.135; 276.81;  0.668; 199.76;  0.184;  82.84;  0.584;  17.63;
3/7/2022 18:53:24; 14.8; 48.3; -0.2; -3.4;  0.431; 21.68;    0;    0;  0.233; 105.95;  0.619; 141.09;  0.047; 225.86;  0.050;   2.29;  0.020; 243.43;  0.052; 127.97;  0.091; 227.68;  0.118; 130.18;  0.224;   2.30;  0.092; 291.80;  0.036; 333.43;  0.786;  91.46;  0.049; 102.91;  0.686; 336.35;  0.218;  72.06;  0.276; 255.76;  0.365; 102.82;  0.279;  56.99;  0.692; 195.50;
3/7/2022 18:53:25; 14.8; 48.3; -0.2; -3.4;  0.429; 21.68;    0;    0;  0.258;  87.78;  0.476; 141.57;  0.975; 150.17;  0.304; 143.43;  0.008; 209.74;  0.177; 134.77;  0.060; 277.72;  0.060;  67.31;  0.475; 115.16;  0.128;  11.22;  0.163;   7.73;  0.946;  86.97;  0.431;  88.27;  0.174; 296.57;  0.801; 337.92;  0.208; 126.98;  0.790; 318.75;  0.820; 254.15;  0.672; 296.91;
3/7/2022 18:53:25; 14.8; 48.5; -0.2; -3.5;  0.431; 21.68;    0;    0;  0.259;  87.13;  0.006;   0.00;  0.468; 147.29;  0.397; 152.21;  0.485; 268.11;  0.062; 117.80;  0.322;  93.74;  0.445;  87.03;  0.202;  43.59;  0.913; 157.87;  0.295; 318.03;  0.081;  52.00;  0.510;  87.19;  0.129;  81.05;  0.030;  66.04;  0.824; 146.83;  0.708; 203.02;  0.305; 290.93;  1.032;  39.69;
3/7/2022 18:53:26; 14.8; 48.2; -0.3; -3.5;  0.426; 21.68;    0;    0;  0.255;  87.31;  0.039; 332.78;  0.348; 337.86;  0.187; 341.95;  0.095;  71.57;  0.013; 221.99;  0.079; 239.53;  0.253; 265.91;  0.204; 292.43;  0.569; 141.14;  0.035; 171.87;  0.185;  31.55;  0.401;  69.39;  0.170; 320.97;  0.089;  14.35;  0.698; 142.05;  0.719; 350.47;  0.439; 318.79;  0.585;  76.25;
3/7/2022 18:53:26; 14.8; 48.4; -0.2; -3.4;  0.428; 21.68;    0;    0;  0.258;  88.22;  0.113; 283.79;  0.431; 176.14;  0.057;   7.00;  0.083; 118.11;  0.074;  62.74;  0.102;  64.95;  0.083; 232.85;  0.164; 272.79;  0.701; 332.56;  0.031;  11.31;  0.064; 245.85;  0.119; 144.57;  0.145; 341.94;  0.157; 108.90;  0.252; 241.10;  0.583;  67.83;  0.859;  52.48;  1.192; 244.66;
