DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(0.060m);Dir#1(0.060m);Speed#2(0.070m);Dir#2(0.070m);Speed#3(0.080m);Dir#3(0.080m);Speed#4(0.090m);Dir#4(0.090m);Speed#5(0.100m);Dir#5(0.100m);Speed#6(0.110m);Dir#6(0.110m);Speed#7(0.120m);Dir#7(0.120m);Speed#8(0.130m);Dir#8(0.130m);Speed#9(0.140m);Dir#9(0.140m);Speed#10(0.150m);Dir#10(0.150m);Speed#11(0.160m);Dir#11(0.160m);Speed#12(0.170m);Dir#12(0.170m);Speed#13(0.180m);Dir#13(0.180m);Speed#14(0.190m);Dir#14(0.190m);Speed#15(0.200m);Dir#15(0.200m);Speed#16(0.210m);Dir#16(0.210m);Speed#17(0.220m);Dir#17(0.220m);Speed#18(0.230m);Dir#18(0.230m);Speed#19(0.240m);Dir#19(0.240m);
3/9/2022 16:55:11; 14.8; 44.5; -0.9; -8.5;  0.409; 23.36;    0;    0;  0.116;  89.51;  0.707; 345.33;  1.037; 149.41;  0.023; 311.42;  0.055; 171.57;  0.092; 260.03;  0.092;  18.43;  0.056;  80.71;  0.102; 118.07;  0.250; 336.20;  0.089; 219.06;  0.490; 324.39;  0.067; 300.38;  0.194; 194.97;  0.116; 211.22;  0.070;  18.43;  0.205; 196.75;  0.162; 245.97;  0.894; 220.28;
3/9/2022 16:55:11; 14.8; 44.8; -0.8; -8.5;  0.408; 23.36;    0;    0;  0.158;  73.41;  0.199; 153.18;  0.101; 185.65;  0.033; 298.89;  0.169; 218.29;  0.205; 165.90;  0.096; 157.43;  0.052; 332.45;  0.049; 102.91;  0.219; 248.34;  0.035; 286.39;  0.060; 146.58;  0.155; 321.28;  0.098;  15.46;  0.022; 200.85;  0.191; 220.11;  0.093;   7.43;  0.959;  29.21;  0.776;  79.15;
3/9/2022 16:55:12; 14.8; 44.7; -0.8; -8.5;  0.409; 23.36;    0;    0;  0.113; 292.27;  0.073;  45.56;  0.219;  38.70;  0.056; 148.86;  0.531; 204.10;  0.057; 307.87;  0.106; 138.81;  0.054; 255.96;  0.033; 252.12;  0.035; 280.01;  0.780; 217.40;  0.049; 168.23;  0.068;  17.10;  0.061; 114.06;  0.055; 321.67;  0.183; 342.55;  0.062; 178.15;  0.411; 210.25;  0.902; 284.19;
3/9/2022 16:55:12; 14.8; 44.5; -0.8; -8.5;  0.407; 23.36;    0;    0;  0.140; 120.96;  0.166; 250.69;  0.232;  27.45;  0.118; 278.27;  0.429; 267.06;  0.225;  30.22;  0.050; 136.64;  0.171; 270.67;  0.052; 288.08;  0.046; 339.59;  0.015; 222.27;  0.547; 211.25;  0.073; 120.43;  0.081;  80.77;  0.155; 260.36;  0.081; 207.82;  0.079; 146.31;  0.540;  51.09;  0.809; 201.39;
3/9/2022 16:55:13; 14.8; 44.9; -0.8; -8.5;  0.408; 23.36;    0;    0;  0.810; 332.33;  0.813; 324.67;  0.121; 306.59;  0.220; 240.06;  0.026; 169.11;  0.098; 205.26;  0.064;  85.53;  0.730;  30.08;  0.078; 208.20;  0.083; 171.67;  0.031; 260.84;  0.047;  11.07;  0.086; 286.96;  0.052;  83.42;  0.058; 154.32;  0.111;  31.41;  0.172; 127.93;  0.157;   2.55;  0.588; 340.21;
3/9/2022 16:55:13; 14.8; 44.4; -0.9; -8.6;  0.408; 23.36;    0;    0;  0.973; 151.20;  0.337; 155.42;  0.101;  26.57;  0.110; 165.20;  0.197; 303.21;  0.203; 108.08;  0.067;  85.73;  0.074; 313.36;  0.143; 222.73;  0.274; 200.75;  0.018;  22.38;  0.130; 227.49;  0.045; 277.59;  0.077; 163.44;  0.170;  37.34;  0.103; 120.30;  0.044; 346.91;  0.550; 219.02;  1.174; 195.52;
3/9/2022 16:55:14; 14.8; 44.8; -0.9; -8.5;  0.409; 23.36;    0;    0;  0.176;  66.20;  1.274; 309.07;  0.843; 353.53;  0.150; 277.27;  0.465; 293.04;  0.089;   9.04;  0.040; 159.27;  0.082; 319.47;  0.072;  94.76;  0.128;  77.37;  0.047;   3.65;  0.046;  13.74;  0.068;  15.26;  0.065; 143.13;  0.091; 284.65;  0.284;  42.72;  0.092; 257.47;  0.961;  17.81;  0.842; 357.89;
3/9/2022 16:55:14; 14.8; 44.4; -0.8; -8.6;  0.408; 23.36;    0;    0;  0.052; 126.43;  0.104; 319.70;  0.105; 327.07;  0.073; 265.30;  0.047; 184.86;  0.073; 265.30;  0.225;  96.65;  0.125; 255.63;  0.147; 227.49;  0.132; 225.92;  0.162; 211.15;  0.037; 233.75;  0.060;  13.57;  0.158;  84.54;  0.048;  88.81;  0.139;  55.28;  0.088;  30.07;  0.046; 216.12;  0.242; 322.04;
3/9/2022 16:55:15; 14.8; 44.5; -0.8; -8.5;  0.408; 23.36;    0;    0;  0.098;  95.25;  0.119;  34.36;  0.144; 334.50;  0.038; 343.01;  0.355;  84.18;  0.062; 233.50;  0.112;  90.00;  0.016; 270.00;  0.088; 329.37;  0.209; 222.86;  0.063; 184.54;  0.119; 217.16;  0.079; 211.46;  0.382;  18.62;  0.187;  66.32;  0.111; 164.34;  0.303; 326.83;  0.768;  31.91;  0.228; 356.24;
3/9/2022 16:55:15; 14.8; 44.7; -0.9; -8.5;  0.407; 23.36;    0;    0;  0.271; 319.19;  0.435; 337.15;  0.085; 262.54;  0.050;  44.19;  0.245; 272.10;  0.187;  98.61;  0.881;  91.30;  0.193;  39.54;  0.115; 166.93;  0.088; 288.64;  0.033; 227.49;  0.039;  66.04;  0.011; 318.81;  0.164; 330.00;  1.012;  28.26;  0.918;  28.91;  0.211;  86.74;  0.665; 252.60;  0.928; 197.36;
