  3   0.080  -0.057   0.006   0.008 116.0 119.0 134.0  49.0  57.0  95.0   0.057  276.01 0 0 0 0 0 0
  4   0.090   0.060   0.065  -0.010 107.0 110.0 136.0  86.0  33.0  95.0   0.088   42.71 0 0 0 0 0 0
  5   0.100   0.125   0.146  -0.034 100.0 104.0 129.0  64.0  40.0  81.0   0.192   40.57 0 0 0 0 0 0
  6   0.110  -0.035   0.112  -0.016  95.0 102.0 121.0  52.0  43.0  52.0   0.117  342.65 0 0 0 0 0 0
  7   0.120  -0.001  -0.024   0.041  93.0 102.0 114.0  54.0  12.0  73.0   0.024  182.39 0 0 0 0 0 0
  8   0.130   0.059  -0.017   0.002  92.0 102.0 107.0  24.0  47.0  84.0   0.061  106.07 0 0 0 0 0 0
  9   0.140   0.132  -0.007  -0.002  92.0 101.0 100.0  43.0  55.0  82.0   0.132   93.04 0 0 0 0 0 0
 10   0.150  -0.069  -0.121   0.031  93.0 101.0  94.0  96.0  43.0  94.0   0.139  209.69 0 0 0 0 0 0
 11   0.160  -0.011   0.013  -0.009  88.0 100.0  88.0  68.0  17.0  79.0   0.017  319.76 0 0 0 0 0 0
 12   0.170  -0.755   0.098  -0.193  83.0  98.0  85.0   4.0  32.0  91.0   0.761  277.40 0 0 0 0 0 0
 13   0.180  -0.041  -0.026   0.042  81.0  97.0  82.0  23.0  16.0  72.0   0.049  237.62 0 0 0 0 0 0
 14   0.190  -0.057  -0.156   0.090  81.0  96.0  78.0  62.0  22.0  68.0   0.166  200.07 0 0 0 0 0 0
 15   0.200   0.113   0.166  -0.047  84.0  94.0  83.0  93.0  26.0  99.0   0.201   34.24 0 0 0 0 0 0
 16   0.210   0.006  -0.030  -0.003  89.0  91.0  85.0  98.0  32.0  87.0   0.031  168.69 0 0 0 0 0 0
 17   0.220   0.018   0.118  -0.067  89.0  90.0  85.0  34.0  34.0  87.0   0.119    8.67 0 0 0 0 0 0
 18   0.230   0.051   0.018  -0.009  91.0  87.0  82.0  60.0  41.0  56.0   0.054   70.56 0 0 0 0 0 0
 19   0.240  -0.096  -0.161   0.048  93.0  86.0  76.0  78.0  25.0   6.0   0.187  210.81 0 0 0 0 0 0
03 07 2022 19 13 52.000     1   901 00000000 01110000  13.2 1487.5  96.7   0.5  -2.0   0.635  21.73     0     0 3  19
  1   0.060  -0.368   0.009  -0.076 139.0 141.0 141.0   6.0  89.0 100.0   0.368  271.40 0 0 0 0 0 0
  2   0.070   0.292   0.115   0.130 127.0 135.0 130.0   9.0  96.0  23.0   0.314   68.50 0 0 0 0 0 0
  3   0.080  -0.159  -0.093   0.028 117.0 124.0 121.0  28.0  57.0  86.0   0.184  239.68 0 0 0 0 0 0
  4   0.090  -0.001   0.036  -0.029 109.0 111.0 109.0  33.0  52.0  86.0   0.036  358.41 0 0 0 0 0 0
  5   0.100  -0.139  -0.148   0.031  98.0 100.0  99.0  12.0  33.0  91.0   0.203  223.20 0 0 0 0 0 0
  6   0.110   0.642   0.061   0.131  94.0  98.0  93.0   4.0  63.0  74.0   0.645   84.57 0 0 0 0 0 0
  7   0.120   0.015   0.002   0.005  97.0  98.0  92.0  60.0  92.0  92.0   0.015   82.41 0 0 0 0 0 0
  8   0.130  -0.087  -0.008  -0.011  95.0  94.0 100.0  27.0  83.0 100.0   0.087  264.75 0 0 0 0 0 0
  9   0.140   0.022  -0.052   0.025  93.0  92.0  99.0  65.0  78.0  89.0   0.056  157.07 0 0 0 0 0 0
 10   0.150  -0.042   0.036   0.006  92.0  91.0  96.0  67.0  91.0  95.0   0.055  310.60 0 0 0 0 0 0
 11   0.160  -0.035   0.014  -0.010  89.0  89.0  87.0  39.0  87.0  78.0   0.038  291.80 0 0 0 0 0 0
 12   0.170   0.038   0.032  -0.015  89.0  90.0  82.0  58.0  88.0  77.0   0.050   49.90 0 0 0 0 0 0
 13   0.180   0.438   0.002   0.077  88.0  91.0  79.0   8.0  73.0  78.0   0.438   89.74 0 0 0 0 0 0
 14   0.190  -0.097  -0.006  -0.015  87.0  90.0  77.0  35.0  74.0  65.0   0.097  266.46 0 0 0 0 0 0
 15   0.200  -0.003  -0.044   0.017  87.0  90.0  72.0  49.0  50.0  28.0   0.044  183.90 0 0 0 0 0 0
 16   0.210   0.054  -0.028  -0.002  87.0  88.0  70.0  61.0  72.0  68.0   0.061  117.41 0 0 0 0 0 0
 17   0.220  -0.016   0.007   0.001  90.0  88.0  70.0  99.0  76.0  29.0   0.017  293.63 0 0 0 0 0 0
 18   0.230  -0.083  -0.042  -0.026  84.0  87.0  69.0  45.0  69.0  39.0   0.093  243.16 0 0 0 0 0 0
 19   0.240  -0.051   0.337   0.083  79.0  86.0  67.0  35.0  44.0  10.0   0.341  351.39 0 0 0 0 0 0
03 07 2022 19 18 52.000     1  1201 00000000 01110000  13.2 1487.5  96.7   0.5  -2.0   0.640  21.73     0     0 3  19
  1   0.060   0.134  -0.014   0.032 139.0 138.0 140.0  82.0  90.0  50.0   0.135   95.96 0 0 0 0 0 0
  2   0.070   0.021   0.056  -0.009 130.0 127.0 130.0  99.0  50.0  79.0   0.060   20.56 0 0 0 0 0 0
