"TOA5","SUSTAINpresX4X2","CR6","5764","CR6.Std.10.02","CPU:SUSTAINpressX4X2V10_0907_13Feb2019.CR6","43802","pressure"
"TIMESTAMP","RECORD","Pressure1(1)","Pressure1(2)","Pressure1(3)","Pressure1(4)","Pressure2(1)","Pressure2(2)","Pressure2(3)","Pressure2(4)"
"TS","RN","hPa","hPa","hPa","hPa","hPa","hPa","hPa","hPa"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-03-04 20:00:00.1",1746201,-4.221442,0.02519122,7.300017E-05,-0.01869616,1020.547,894.3367,1018.387,1019.303
"2022-03-04 20:00:00.2",1746202,-4.22139,0.02511518,5.648823E-05,-0.01819645,1020.546,894.4153,1018.399,1019.307
"2022-03-04 20:00:00.3",1746203,-4.221127,0.02595815,6.575809E-05,-0.01726657,1020.549,894.492,1018.391,1019.325
"2022-03-04 20:00:00.4",1746204,-4.221393,0.02517782,4.403185E-05,-0.01760984,1020.536,894.555,1018.384,1019.313
"2022-03-04 20:00:00.5",1746205,-4.221235,0.02496382,6.083347E-05,-0.01734478,1020.534,894.6158,1018.387,1019.309
"2022-03-04 20:00:00.6",1746206,-4.221338,0.02488451,6.112316E-05,-0.01679728,1020.557,894.6635,1018.391,1019.313
"2022-03-04 20:00:00.7",1746207,-4.22128,0.02453943,5.590886E-05,-0.0169146,1020.556,894.694,1018.382,1019.323
"2022-03-04 20:00:00.8",1746208,-4.221369,0.023695,4.113502E-05,-0.01560524,1020.539,894.7202,1018.39,1019.313
"2022-03-04 20:00:00.9",1746209,-4.221278,0.023439,6.228189E-05,-0.01537349,1020.541,894.7458,1018.385,1019.319
"2022-03-04 20:00:01",1746210,-4.2214,0.02289982,6.054379E-05,-0.01522285,1020.553,894.763,1018.376,1019.32
"2022-03-04 20:00:01.1",1746211,-4.221269,0.02368776,4.866678E-05,-0.01433063,1020.547,894.7843,1018.381,1019.316
"2022-03-04 20:00:01.2",1746212,-4.221505,0.0231026,7.184144E-05,-0.0133544,1020.554,894.7986,1018.384,1019.321
"2022-03-04 20:00:01.3",1746213,-4.221199,0.02196052,5.330171E-05,-0.01392218,1020.563,894.8214,1018.387,1019.328
"2022-03-04 20:00:01.4",1746214,-4.221394,0.02165346,7.531764E-05,-0.0136745,1020.551,894.8367,1018.383,1019.314
"2022-03-04 20:00:01.5",1746215,-4.221322,0.02174037,5.532949E-05,-0.01377154,1020.544,894.851,1018.376,1019.32
"2022-03-04 20:00:01.6",1746216,-4.221483,0.02119286,8.28494E-05,-0.0131719,1020.536,894.8652,1018.392,1019.313
"2022-03-04 20:00:01.7",1746217,-4.221256,0.02050342,7.734542E-05,-0.01284021,1020.543,894.8602,1018.383,1019.316
"2022-03-04 20:00:01.8",1746218,-4.221318,0.02124863,6.286125E-05,-0.01390914,1020.553,894.877,1018.381,1019.311
"2022-03-04 20:00:01.9",1746219,-4.221295,0.02333326,4.692868E-05,-0.01401343,1020.548,894.8775,1018.385,1019.327
"2022-03-04 20:00:02",1746220,-4.221253,0.02314352,6.488904E-05,-0.01487524,1020.545,894.8856,1018.385,1019.321
"2022-03-04 20:00:02.1",1746221,-4.221293,0.02377611,9.298831E-05,-0.01507512,1020.548,894.8856,1018.385,1019.316
"2022-03-04 20:00:02.2",1746222,-4.221488,0.02423562,2.867864E-05,-0.01484337,1020.54,894.8839,1018.388,1019.322
"2022-03-04 20:00:02.3",1746223,-4.221442,0.02508947,8.690496E-05,-0.01478109,1020.547,894.8931,1018.391,1019.326
