"TOA5","SUSTAINpresX4X2","CR6","5764","CR6.Std.10.02","CPU:SUSTAINpressX4X2V10_0907_13Feb2019.CR6","43802","pressure"
"TIMESTAMP","RECORD","Pressure1(1)","Pressure1(2)","Pressure1(3)","Pressure1(4)","Pressure2(1)","Pressure2(2)","Pressure2(3)","Pressure2(4)"
"TS","RN","hPa","hPa","hPa","hPa","hPa","hPa","hPa","hPa"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-03-04 19:00:00.1",1710205,-4.221545,-0.02451734,-1.911909E-05,-0.01061689,1021.06,894.7371,1020.32,1020.483
"2022-03-04 19:00:00.2",1710206,-4.221405,-0.02355052,-2.896832E-06,-0.01044018,1021.046,894.8242,1020.334,1020.472
"2022-03-04 19:00:00.3",1710207,-4.221496,-0.02367871,-5.503981E-06,-0.01025189,1021.058,894.8988,1020.32,1020.467
"2022-03-04 19:00:00.4",1710208,-4.221421,-0.02265685,-1.969846E-05,-0.009930342,1021.073,894.9507,1020.326,1020.481
"2022-03-04 19:00:00.5",1710209,-4.221352,-0.02335064,3.476199E-05,-0.01012877,1021.048,895.0099,1020.318,1020.482
"2022-03-04 19:00:00.6",1710210,-4.221524,-0.02427183,-6.373031E-06,-0.01121364,1021.056,895.048,1020.314,1020.477
"2022-03-04 19:00:00.7",1710211,-4.221556,-0.02400171,2.665086E-05,-0.009663833,1021.056,895.0778,1020.319,1020.473
"2022-03-04 19:00:00.8",1710212,-4.221328,-0.02339554,6.373031E-06,-0.01045177,1021.061,895.1021,1020.312,1020.471
"2022-03-04 19:00:00.9",1710213,-4.221537,-0.0228408,1.796036E-05,-0.00974929,1021.063,895.1338,1020.312,1020.473
"2022-03-04 19:00:01",1710214,-4.221385,-0.02251563,-1.390479E-05,-0.009216272,1021.062,895.1666,1020.323,1020.47
"2022-03-04 19:00:01.1",1710215,-4.221402,-0.02341365,-7.531763E-06,-0.009529131,1021.068,895.1901,1020.314,1020.476
"2022-03-04 19:00:01.2",1710216,-4.221319,-0.02488741,3.186515E-05,-0.009733357,1021.057,895.2106,1020.311,1020.477
"2022-03-04 19:00:01.3",1710217,-4.221304,-0.02616636,-6.952397E-06,-0.009779707,1021.057,895.2214,1020.322,1020.466
"2022-03-04 19:00:01.4",1710218,-4.221333,-0.02543347,9.559546E-06,-0.009600103,1021.065,895.2227,1020.316,1020.471
"2022-03-04 19:00:01.5",1710219,-4.221274,-0.02412192,-3.476199E-06,-0.009963655,1021.068,895.2394,1020.318,1020.466
"2022-03-04 19:00:01.6",1710220,-4.221363,-0.02308703,1.332543E-05,-0.009866611,1021.062,895.2477,1020.316,1020.477
"2022-03-04 19:00:01.7",1710221,-4.221372,-0.02274665,3.476199E-06,-0.009558098,1021.055,895.2606,1020.315,1020.467
"2022-03-04 19:00:01.8",1710222,-4.221321,-0.02147422,-8.690497E-06,-0.01040253,1021.061,895.2715,1020.317,1020.468
"2022-03-04 19:00:01.9",1710223,-4.221344,-0.0223114,1.448416E-05,-0.01030114,1021.061,895.2683,1020.323,1020.473
"2022-03-04 19:00:02",1710224,-4.221348,-0.02365336,6.083348E-06,-0.01003608,1021.075,895.2814,1020.317,1020.471
"2022-03-04 19:00:02.1",1710225,-4.221372,-0.02492217,-1.158733E-05,-0.01012877,1021.056,895.287,1020.326,1020.47
"2022-03-04 19:00:02.2",1710226,-4.221437,-0.02558772,1.158733E-06,-0.01090078,1021.068,895.2839,1020.318,1020.48
"2022-03-04 19:00:02.3",1710227,-4.221333,-0.02360412,2.317466E-06,-0.01141352,1021.068,895.288,1020.316,1020.475
