"TOA5","SUSTAINpresX4X2","CR6","5764","CR6.Std.10.02","CPU:SUSTAINpressX4X2V10_0907_13Feb2019.CR6","43802","pressure"
"TIMESTAMP","RECORD","Pressure1(1)","Pressure1(2)","Pressure1(3)","Pressure1(4)","Pressure2(1)","Pressure2(2)","Pressure2(3)","Pressure2(4)"
"TS","RN","hPa","hPa","hPa","hPa","hPa","hPa","hPa","hPa"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-03-07 20:00:03.8",4338052,-4.2197,-0.01357165,-4.634929E-05,-0.01699861,1017.793,886.9456,1018.511,1019.453
"2022-03-07 20:00:03.9",4338053,-4.21955,-0.01346737,-6.546838E-05,-0.01684652,1017.798,886.9396,1018.524,1019.444
"2022-03-07 20:00:04",4338054,-4.219522,-0.01394317,-5.503979E-05,-0.01695081,1017.799,886.9303,1018.53,1019.442
"2022-03-07 20:00:04.1",4338055,-4.219517,-0.01368246,-8.140094E-05,-0.01688273,1017.806,886.9424,1018.533,1019.444
"2022-03-07 20:00:04.2",4338056,-4.219431,-0.01408946,-4.171436E-05,-0.01758666,1017.789,886.9396,1018.521,1019.442
"2022-03-07 20:00:04.3",4338057,-4.21967,-0.01450226,-6.662711E-05,-0.01690446,1017.775,886.9357,1018.522,1019.432
"2022-03-07 20:00:04.4",4338058,-4.219509,-0.01384903,-5.040485E-05,-0.01618604,1017.773,886.9364,1018.526,1019.434
"2022-03-07 20:00:04.5",4338059,-4.219559,-0.0144016,-5.967471E-05,-0.01610638,1017.786,886.933,1018.523,1019.449
"2022-03-07 20:00:04.6",4338060,-4.219651,-0.01416768,-8.574619E-05,-0.01665243,1017.792,886.9415,1018.525,1019.443
"2022-03-07 20:00:04.7",4338061,-4.219495,-0.0144016,-5.880566E-05,-0.01655394,1017.801,886.9276,1018.527,1019.453
"2022-03-07 20:00:04.8",4338062,-4.219615,-0.01399531,-4.692866E-05,-0.01722601,1017.797,886.938,1018.53,1019.433
"2022-03-07 20:00:04.9",4338063,-4.219669,-0.01402646,-3.534133E-05,-0.01652353,1017.792,886.9433,1018.516,1019.444
"2022-03-07 20:00:05",4338064,-4.219615,-0.01405905,-3.968658E-05,-0.01609769,1017.786,886.9517,1018.53,1019.433
"2022-03-07 20:00:05.1",4338065,-4.219643,-0.01439435,-6.749616E-05,-0.01621791,1017.781,886.9531,1018.535,1019.434
"2022-03-07 20:00:05.2",4338066,-4.219569,-0.01431324,-6.807552E-05,-0.01713186,1017.787,886.9433,1018.515,1019.435
"2022-03-07 20:00:05.3",4338067,-4.219622,-0.01406412,-5.590883E-05,-0.01642793,1017.799,886.9412,1018.523,1019.431
"2022-03-07 20:00:05.4",4338068,-4.219563,-0.01414016,-5.12739E-05,-0.01588622,1017.794,886.933,1018.521,1019.456
"2022-03-07 20:00:05.5",4338069,-4.219593,-0.01448416,-6.373027E-05,-0.01600209,1017.801,886.93,1018.521,1019.443
"2022-03-07 20:00:05.6",4338070,-4.219568,-0.01408367,-6.373027E-05,-0.01604844,1017.797,886.9396,1018.509,1019.446
"2022-03-07 20:00:05.7",4338071,-4.219452,-0.01361655,-8.864302E-05,-0.01609335,1017.777,886.9414,1018.513,1019.438
"2022-03-07 20:00:05.8",4338072,-4.21966,-0.0139859,-4.750802E-05,-0.01677555,1017.787,886.9345,1018.519,1019.439
"2022-03-07 20:00:05.9",4338073,-4.219709,-0.01421982,-7.560728E-05,-0.01693053,1017.789,886.9408,1018.524,1019.439
"2022-03-07 20:00:06",4338074,-4.219534,-0.01437408,-4.808739E-05,-0.01639027,1017.803,886.9403,1018.526,1019.441
"2022-03-07 20:00:06.1",4338075,-4.219559,-0.01433135,-5.793661E-05,-0.01757652,1017.788,886.9302,1018.516,1019.452
"2022-03-07 20:00:06.2",4338076,-4.219487,-0.01416043,-6.604774E-05,-0.01562406,1017.79,886.9243,1018.52,1019.446
"2022-03-07 20:00:06.3",4338077,-4.219445,-0.01377805,-8.111126E-05,-0.01557047,1017.793,886.9262,1018.518,1019.435
"2022-03-07 20:00:06.4",4338078,-4.219521,-0.0141445,-6.430964E-05,-0.01618315,1017.792,886.9196,1018.532,1019.441
"2022-03-07 20:00:06.5",4338079,-4.219584,-0.01429876,-6.633742E-05,-0.01561247,1017.788,886.9209,1018.52,1019.425
"2022-03-07 20:00:06.6",4338080,-4.219613,-0.01457541,-6.807552E-05,-0.0157182,1017.797,886.9333,1018.517,1019.435
